Original;French_normalise
Pinot Grigio white wine;Vin blanc sec
Pinot Noir red wine;Vin rouge
Pistachio cream liqueur;Liqueur crème de pistache
Pistachio syrup;Sirop de pistache
Plum (stoned & peeled);Prune
Plum bitters;Bitters prune
Plum jam;Confiture de prune
Poire William eau-de-vie;Eau-de-vie Poire
Pomegranate juice;Jus de grenade
Pomegranate liqueur;Liqueur de grenade
Pomegranate molasses;Mélasse de grenade
Pomegranate seeds;Graines de grenade
Pommeau de Normandie apple ap�ritif;Pommeau de Normandie
Porter beer;Bière blonde
Poteen/Poit�n;Poitin (eau-de-vie irlandaise)
Powdered panela sugar;Sucre
Powdered sugar (white sugar ground in mortar and pestle);Sucre glace
Prune eau-de-vie;Eau-de-vie de prune
Prune syrup (from tinned fruit);Sirop de prune
Pumpkin puree;Purée de citrouille
Punt E Mes vermouth amaro;Amaro
Quince mustard jam;Confiture de coing
Rabarbaro liqueur;Amaro
Rainwater/Verdelho (med-dry) madeira wine;Vin blanc moelleux
Raisin sugar syrup (2:1 homemade);Sirop de raisin
Raisins;Raisins secs
Raspberries;Framboises
Raspberry (framboise) sugar syrup;Sirop de framboise
Raspberry jam;Confiture de framboise
Raspberry puree;Purée de framboise
Ratafia de Marseille;Ratafia de Marseille
Red bell pepper;Poivron rouge
Red bitter soda;Soda bitter rouge
Red chili pepper (jalape�o/fresno chili 10,000 SHU) deseeded;Piment rouge
Red cura�ao liqueur;Curaçao rouge
Red grapes (seedless);Raisins rouges
Redcurrant jelly;Gelée de groseille
Redcurrants;Groseilles rouges
Rhubarb & orange preserve;Confiture rhubarbe-orange
Rhubarb bitters;Bitters rhubarbe
Rhubarb flavoured vodka;Vodka aromatisée rhubarbe
Rhubarb syrup;Sirop de rhubarbe
Rhum Cl�ment Blanc;Rhum blanc
Rhum Cl�ment Cr�ole Shrubb liqueur;Liqueur Créole Shrubb
Rhum J.M. Terroir Volcanique;Rhum brun
Riesling wine;Vin blanc 
Rioja (Crianza) red wine;Vin rouge
Roasted buckwheat cordial;Sirop de sarrasin grillé
Roasted coconut cordial;Sirop de coco grillée
Roasted coffee beans;Grains de café torréfiés
Rocket/Arugula salad leaves;Feuilles de roquette
Rooibos tea (cold);Thé rooibos
Root beer;Root beer
Ros� champagne;Champagne Rosé
Ros�/rosato vermouth;Vermouth rosé
Rose petal liqueur;Liqueur de rose
Rose sugar syrup;Sirop de rose
Rose water;Eau de rose
Rosemary sprig;Romarin
Rosemary sugar syrup (2:1);Sirop de romarin
Rubino/Rosso/Rojo (sweet, fruity) vermouth;Vermouth rouge
Ruby red grapefruit;Pamplemousse rose
Rutte & ZN 12 Oude Graan Jenever;Genièvre Oude Graan (Rutte & ZN 12)
Rutte Celery Dry Gin;Gin au céleri
Saffron fronds;Filaments de safran
Saffron syrup (2:1 sugar syrup heated with saffron fronds);Sirop de safran
Sage leaves;Feuilles de sauge
Saline solution (20g sea salt to 80g water);Solution saline (20g sel / 80g eau)
Saline solution (20g sea salt to 80g water) or merest pinch of s;Solution saline (20g sel / 80g eau)
Salt (sea salt);Sel
Salted caramel syrup;Sirop caramel salé
Salted grapefruit soda;Soda pamplemousse salé
Sambuca;Sambuca
Sauternes dessert wine;Vin balnc moelleux
Sauvignon blanc wine;Vin blanc sec
Savoia Americano Rosso;Americano rosso (Savoia)
Savoia Orancio;Americano Orancio (Savoia)
Scotch ale beer;Bière brune
Sercial (dry) Madeira wine;Vin blanc sec
Sesame oil;Huile de sésame
Sexy bitters;Bitters Sexy
Sherry vinegar;Vinaigre balsamique
Shiraz red wine;Vin rouge 
Shiso/Perilla leaf;Feuille de shiso/perilla
Shochu/soju;Soju
Single cream/half-and-half;Crème fraiche
Single malt Welsh whisky;Whisky
Single pot still Irish whiskey;Whiskey
Slivovitz plum brandy;Eau-de-vie de prune
Smoked porter beer;Bière blonde
Soave wine;Vin blanc sec
Soda from siphon;Soda
Sorrelade;Sorrelade (boisson oseille)
Sotol;Sotol
Sour apple liqueur;Liqueur pomme acidulée
Sour pineapple liqueur;Liqueur ananas acidulée
Southern/Louisiana-style whisky liqueur (e.g. Southern Comfort);Liqueur whisky
Soy milk;Lait de soja
Soy sauce;Sauce soja
Spanish brandy;Cognac
